cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
bnp7oyb4,2259315a98980308afaa3ff6615675341b738567,Medline; PMC,A Biomedical Knowledge Graph System to Propose Mechanistic Hypotheses for Real-World Environmental Health Observations: Cohort Study and Informatics Application,10.2196/26714,PMC8335603,34283031.0,cc-by,"BACKGROUND: Knowledge graphs are a common form of knowledge representation in biomedicine and many other fields. We developed an open biomedical knowledge graph–based system termed Reasoning Over Biomedical Objects linked in Knowledge Oriented Pathways (ROBOKOP). ROBOKOP consists of both a front-end user interface and a back-end knowledge graph. The ROBOKOP user interface allows users to posit questions and explore answer subgraphs. Users can also posit questions through direct Cypher query of the underlying knowledge graph, which currently contains roughly 6 million nodes or biomedical entities and 140 million edges or predicates describing the relationship between nodes, drawn from over 30 curated data sources. OBJECTIVE: We aimed to apply ROBOKOP to survey data on workplace exposures and immune-mediated diseases from the Environmental Polymorphisms Registry (EPR) within the National Institute of Environmental Health Sciences. METHODS: We analyzed EPR survey data and identified 45 associations between workplace chemical exposures and immune-mediated diseases, as self-reported by study participants (n= 4574), with 20 associations significant at P<.05 after false discovery rate correction. We then used ROBOKOP to (1) validate the associations by determining whether plausible connections exist within the ROBOKOP knowledge graph and (2) propose biological mechanisms that might explain them and serve as hypotheses for subsequent testing. We highlight the following three exemplar associations: carbon monoxide-multiple sclerosis, ammonia-asthma, and isopropanol-allergic disease. RESULTS: ROBOKOP successfully returned answer sets for three queries that were posed in the context of the driving examples. The answer sets included potential intermediary genes, as well as supporting evidence that might explain the observed associations. CONCLUSIONS: We demonstrate real-world application of ROBOKOP to generate mechanistic hypotheses for associations between workplace chemical exposures and immune-mediated diseases. We expect that ROBOKOP will find broad application across many biomedical fields and other scientific disciplines due to its generalizability, speed to discovery and generation of mechanistic hypotheses, and open nature.",2021-07-20,"Fecho, Karamarie; Bizon, Chris; Miller, Frederick; Schurman, Shepherd; Schmitt, Charles; Xue, William; Morton, Kenneth; Wang, Patrick; Tropsha, Alexander",JMIR Med Inform,,,,document_parses/pdf_json/2259315a98980308afaa3ff6615675341b738567.json,document_parses/pmc_json/PMC8335603.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/34283031/; https://doi.org/10.2196/26714,235868885.0
xwttzoft,,Medline,Development of a multiplex microsphere immunoassay for the detection of antibodies against highly pathogenic viruses in human and animal serum samples.,10.1371/journal.pntd.0008699,,33095766.0,cc0,"Surveillance of highly pathogenic viruses circulating in both human and animal populations is crucial to unveil endemic infections and potential zoonotic reservoirs. Monitoring the burden of disease by serological assay could be used as an early warning system for imminent outbreaks as an increased seroprevalance often precedes larger outbreaks. However, the multitude of highly pathogenic viruses necessitates the need to identify specific antibodies against several targets from both humans as well as from potential reservoir animals such as bats. In order to address this, we have developed a broadly reactive multiplex microsphere immunoassay (MMIA) for the detection of antibodies against several highly pathogenic viruses from both humans and animals. To this aim, nucleoproteins (NP) of Ebola virus (EBOV), Marburg virus (MARV) and nucleocapsid proteins (NP) of Crimean-Congo haemorrhagic fever virus, Rift Valley fever virus and Dobrava-Belgrade hantavirus were employed in a 5-plex assay for IgG detection. After optimisation, specific binding to each respective NP was shown by testing sera from humans and non-human primates with known infection status. The usefulness of our assay for serosurveillance was shown by determining the immune response against the NP antigens in a panel of 129 human serum samples collected in Guinea between 2011 and 2012 in comparison to a panel of 88 sera from the German blood bank. We found good agreement between our MMIA and commercial or in-house reference methods by ELISA or IIFT with statistically significant higher binding to both EBOV NP and MARV NP coupled microspheres in the Guinea panel. Finally, the MMIA was successfully adapted to detect antibodies from bats that had been inoculated with EBOV- and MARV- virus-like particles, highlighting the versatility of this technique and potentially enabling the monitoring of wildlife as well as human populations with this assay. We were thus able to develop and validate a sensitive and broadly reactive high-throughput serological assay which could be used as a screening tool to detect antibodies against several highly pathogenic viruses.",2020-10-23,"Surtees, Rebecca; Stern, Daniel; Ahrens, Katharina; Kromarek, Nicole; Lander, Angelika; Kreher, Petra; Weiss, Sabrina; Hewson, Roger; Punch, Emma K; Barr, John N; Witkowski, Peter T; Couacy-Hymann, Emmanuel; Marzi, Andrea; Dorner, Brigitte G; Kurth, Andreas",PLoS neglected tropical diseases,,,,,,https://doi.org/10.1371/journal.pntd.0008699; https://www.ncbi.nlm.nih.gov/pubmed/33095766/,225059227.0
aao90qyt,,Medline,Evaluation of In Vivo Toxicity of Biological Nanoparticles.,10.1002/cpz1.249,,34542934,unk,"Biologically derived nanoparticles such as extracellular vesicles are promising candidates for therapeutic applications. In vivo toxicity of biological nanoparticles can result in tissue or organ damage, immunological perturbations, or developmental effects but cannot be readily predicted from in vitro studies. Therefore, an essential component of the preclinical assessment of these particles for their use as therapeutics requires screening for adverse effects and detailed characterization of their toxicity in vivo. However, there are no standardized, comprehensive methods to evaluate the toxicity profile of nanoparticle treatment in a preclinical model. Here, we first describe a method to prepare bovine milk-derived nanovesicles (MNVs). These MNVs are inexpensive to isolate, have a scalable production platform, and can be modified to achieve a desired biological effect. We also describe two vertebrate animal models, mice and zebrafish, that can be employed to evaluate the toxicity profile of biologically derived nanoparticles, using MNVs as an example. Treatment-induced organ toxicity and immunological effects can be assessed in mice receiving systemic injections of MNVs, and developmental toxicity can be assessed in zebrafish embryos exposed to MNVs in embryo water. Utilizing these animal models provides opportunities to analyze the toxicity profiles of therapeutic extracellular vesicles in vivo. © 2021 Wiley Periodicals LLC. Basic Protocol 1: Preparation of milk-derived nanovesicles Basic Protocol 2: In vivo screening for organ toxicity and immune cell profiling using mice Basic Protocol 3: In vivo developmental toxicity screening using zebrafish.",2021-09-01,"Driscoll, Julia; Yan, Irene K; Angom, Ramcharan Singh; Moirangthem, Anuradha; Patel, Tushar",Current protocols,,,,,,https://doi.org/10.1002/cpz1.249; https://www.ncbi.nlm.nih.gov/pubmed/34542934/,237572444.0
6y3hd6t1,,Medline; WHO,Prevalence of Asymptomatic SARS-CoV-2 Infection,10.7326/l20-1284,,33587873.0,unk,,2021,"Cohen, Andrew N; Kessel, Bruce",Ann Intern Med,,#covidwho-1518754,,,,https://www.ncbi.nlm.nih.gov/pubmed/33587873/; https://doi.org/10.7326/l20-1284,231936317.0
yapxzrxf,7d684ceff1d7a01f46b7dea40a2f1244931dde8d,MedRxiv; WHO,Detection of COVID-19 Disease from Chest X-Ray Images: A Deep Transfer Learning Framework,10.1101/2020.11.08.20227819,,,medrxiv,"The world economy as well as public health have been facing a devastating effect caused by the disease termed Coronavirus (COVID-19). A significant step of COVID-19 affected patient's treatment is the faster and accurate detection of the disease which is the motivation of this study. In this paper, the implementation of a deep transfer learning-based framework using a pre-trained network (ResNet-50) for detecting COVID-19 from the chest X-rays was done. Our dataset consists of 2905 chest X-ray images of three categories: COVID-19 affected (219 cases), Viral Pneumonia affected (1345 cases), and Normal Chest X-rays (1341 cases). The implemented neural network demonstrates significant performance in classifying the cases with an overall accuracy of 96%. Most importantly, the model has shown significantly good performance over the current research-based methods in detecting the COVID-19 cases in the test dataset (Precision = 1.00, Recall = 1.00, F1-score = 1.00, and Specificity = 1.00). Therefore, our proposed approach can be adapted as a reliable method for faster and accurate COVID-19 affected case detection.",2020-11-12,"Sakib, S.; Siddique, M. A. B.; Khan, M. M. R.; Yasmin, N.; Aziz, A.; Chowdhury, M.; Tasawar, I. K.",,,,,document_parses/pdf_json/7d684ceff1d7a01f46b7dea40a2f1244931dde8d.json,,https://doi.org/10.1101/2020.11.08.20227819; http://medrxiv.org/cgi/content/short/2020.11.08.20227819v1?rss=1,226306539.0
lq46nj8j,55e2128872c8d48d13986565d55d3a7493e7a494,Medline; PMC,Clinical course of a critically ill patient with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),10.1007/s10047-020-01183-y,PMC7298923,32556649.0,no-cc,"Although several studies have reported on the clinical and epidemiological characteristics of the patient with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), clinical course of the most severe cases requiring treatment in ICU have been insufficiently reported. A 73-year-old man traveling on a cruise ship with history of hypertension and dyslipidemia developed high fever, dyspnea and cough after 7 days of steroid treatment for sudden sensorineural hearing loss, and tested positive for SARS-CoV-2 in sputa polymerase chain reaction (PCR) examination. His respiratory function deteriorated despite treatments with lopinavir/ritonavir, oseltamivir, azithromycin and meropenem at a regional hospital. He was intubated and transferred to the ICU in the tertiary university hospital on day 10 (ICU day 1). Interferon beta-1b subcutaneous injection was initiated immediately to enhance anti-viral therapy, and favipiravir on ICU day 10 upon availability. Progression of organ dysfunctions necessitated inhalation of nitrogen oxide for respiratory dysfunction, noradrenaline for cardiovascular dysfunction and continuous renal replacement therapy for renal dysfunction. His blood samples PCR also tested positive for SARS-CoV-2, indicating viremia, concomitantly with elevated IL-6 levels. VV-ECMO was initiated after sudden exacerbation of respiratory dysfunction on ICU day 7 to maintain oxygenation. The sustained excessive inflammatory cytokines in the present case might have led to the exacerbation of the disease, requiring vigorous organ support therapies to allow for survival and recovery from the rapid progression of multiple organ dysfunctions and severe respiratory failure. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (10.1007/s10047-020-01183-y) contains supplementary material, which is available to authorized users.",2020-06-16,"Takahashi, Nozomi; Abe, Ryuzo; Hattori, Noriyuki; Matsumura, Yosuke; Oshima, Taku; Taniguchi, Toshibumi; Igari, Hidetoshi; Nakada, Taka-aki",J Artif Organs,,,,document_parses/pdf_json/55e2128872c8d48d13986565d55d3a7493e7a494.json,document_parses/pmc_json/PMC7298923.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/32556649/; https://doi.org/10.1007/s10047-020-01183-y,219721568.0
xuj3dtu2,0b3dd94a7eb8b81cccfb9e71e1862fe07b2822ad,MedRxiv,Integrated metagenomic and bile acid metabolomic analysis of human fecal microbiota transplantation for recurrent Clostridioides difficile and/or inflammatory bowel diseases.,10.1101/2022.02.11.22268733,,,medrxiv,"Background Fecal microbiota transplantation (FMT) is an effective treatment of recurrent Clostridioides difficile (rCDI). In comparison FMT has more limited efficacy in treating either ulcerative colitis (UC) or Crohn's disease (CD), two forms of inflammatory bowel disesases (IBD). We hypothesize that FMT recipients with rCDI and/or IBD have baseline bile acid (BA)compositions that differ significantly from that of their healthy donorsand may be normalized by FMT. Aim To study the effect of single colonoscopic FMT on the microbial composition and function of recipients with rCDI and/or IBD. Methods Multi-omic analysis was performed on stools from 55 pairs of subjects and donors enrolled in two prospective single arm FMT clinical trials [ClinicalTrials.gov ID:NCT03268213, 479696, IND 15642, ClinicalTrials.gov ID: NCT03267238, IND 16795]. Fitted linear models were used to examine the effects of four recipient groups (rCDI withoutIBD, rCDI with IBD, UC without rCDI, CD without rCDI), FMT status (Donor, preFMT, 1 week postFMT, 3 months postFMT) and first order Group*FMT interactions. Results FMT was effective in preventing rCDI for up to one year in 92% of the rCDI without IBD group and 75% of the rCDI with IBD recipients. The donor/recipient Sorensen similarity index was < 0.6 in all donor/CDI recipient pairs but > 0.6 in some donor/IBD only recipient pairs at baseline. Increasing post-FMT similarity indices > 0.6 in IBD recipients, was not clearly associated with reduced fecal calprotectin levels. Fecal secondary BA levels were lower in rCDI without IBD, CDI with IBD and CD without rCDI recipients compared to donors. FMT restored secondary BA levels in these recipients. Metagenomic baiE gene and some of the 8 bile salt hydrolase (BSH) phylotype abundances were significantly correlated with fecal BA levels. Conclusion Restoration of multiple secondary BA levels, including those recently implicated in immunomodulation, are associated with restoration of fecal baiE gene counts, suggesting that 7dihydroxylation step is rate limiting.",2022-02-15,"Jesus Faustino Ramos, R.; Zhu, C.; Joseph, D. F.; Thaker, S.; LaComb, J. F.; Markarian, K.; Littmann, E. R.; Lee, H. J.; Petrov, J. C.; Monzur, F.; Morganstern, B. M.; Bucobo, J. C.; Buscaglia, J. M.; Chawla, A.; Small-Harary, L.; Gathungu, G.; Morganstern, J. A.; Yang, J.; Li, J.; Robertson, C. E.; Pamer, E. G.; Frank, D. N.; Cross, J. R.; Li, E.",,,,,document_parses/pdf_json/0b3dd94a7eb8b81cccfb9e71e1862fe07b2822ad.json,,http://medrxiv.org/cgi/content/short/2022.02.11.22268733v1?rss=1,246825556.0
4y11dkc3,d81c7f24247e1062f143f20c4537423c3292a0fe,Medline; PMC,A report on COVID-19 epidemic in Pakistan using SEIR fractional model,10.1038/s41598-020-79405-9,PMC7747742,33335284.0,cc-by,"Recently, novel coronavirus is a serious global issue and having a negative impact on the economy of the whole world. Like other countries, it also effected the economy and people of Pakistan. According to the publicly reported data, the first case of novel corona virus in Pakistan was reported on 27th February 2020. The aim of the present study is to describe the mathematical model and dynamics of COVID-19 in Pakistan. To investigate the spread of coronavirus in Pakistan, we develop the SEIR time fractional model with newly, developed fractional operator of Atangana–Baleanu. We present briefly the analysis of the given model and discuss its applications using world health organization (WHO) reported data for Pakistan. We consider the available infection cases from 19th March 2020, till 31st March 2020 and accordingly, various parameters are fitted or estimated. It is worth noting that we have calculated the basic reproduction number [Formula: see text] which shows that virus is spreading rapidly. Furthermore, stability analysis of the model at disease free equilibrium DFE and endemic equilibriums EE is performed to observe the dynamics and transmission of the model. Finally, the AB fractional model is solved numerically. To show the effect of the various embedded parameters like fractional parameter [Formula: see text] on the model, various graphs are plotted. It is worth noting that the base of our investigation, we have predicted the spread of disease for next 200 days.",2020-12-17,"Ahmad, Zubair; Arif, Muhammad; Ali, Farhad; Khan, Ilyas; Nisar, Kottakkaran Sooppy",Sci Rep,,,,document_parses/pdf_json/d81c7f24247e1062f143f20c4537423c3292a0fe.json,document_parses/pmc_json/PMC7747742.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/33335284/; https://doi.org/10.1038/s41598-020-79405-9,229316576.0
uglj1i5q,,WHO,Chapter 7 - COVID-19 and risk exposure of the front line: Heroes or martyrs?,,,,unk,"March 2020 our lives as health-care professionals forever changed. Previously seen by others as just doing a job, now we are the heroes of the coronavirus disease 2019 (COVID-19) pandemic. How did that happen? Will it last? How long are we going to be seen as heroes? When will it end, if ever? Heroes have great powers and overcome evil quickly. Now months have gone by and COVID-19 is still among us. This evil sickness is present in our jobs and our lives, and the heroes are losing their superpowers, energy and stamina. As time passes, have we been forgotten or do people just no longer care? Superheroes usually are not forgotten. Yet this is a new type of superheroe. How long will we been seen as such? Time will tell. On the other hand, are health-care professionals the martyrs of this age? You may think that we are if you take into consideration that we are exposing ourselves to the virus every time we go to work, but you are right that is our work. In college, we were never prepared on how to lose a coworker. You are not thought on how to take care of a sick friend much less to have them die in your arms. Maybe we are martyrs or maybe is just how life is during a pandemic. Lots of questions without a definite answer. We are learning who we really are as days go by. Yesterday I felt like a hero, today I am a martyr. How are we going to feel or be seen by others in the next months?",2022,"Díaz, Marilia",COVID-19 Pandemic,,#covidwho-1252353,,,,,237686763.0
47r7z9wb,8cea40dedf3ed080956fec36f6d12b5e9c8d30a5,Medline; PMC,"Influence on Forgiveness, Character Strengths and Satisfaction with Life of a Short Mindfulness Intervention via a Spanish Smartphone Application",10.3390/ijerph18020802,PMC7832842,33477831.0,cc-by,"Mindfulness-based interventions (MBI) are a recognized effective psychological practice characterized by attention control, awareness, acceptance, non-reactivity, and non-judgmental thinking obtained through the practice of meditation. They have been shown to be useful in reducing stress and enhancing well-being in different contexts. In this research, the effectiveness of an MBI was evaluated on variables that can promote successful job performance such as mindfulness trait, positive and negative affect, forgiveness, personality strengths and satisfaction with life. The intervention was carried out through a smartphone application called “Aire Fresco” (Fresh Air) during 14 days in the middle of the quarantine produced by the Covid-19 pandemic. The study sample was composed of 164 Spanish people who were distributed in two groups: control group and experimental group, which were evaluated before and after the intervention. The MANCOVA performed showed an overall positive effect of the intervention on the variables evaluated. The different ANCOVAs carried out showed that the intervention was beneficial in increasing mindfulness trait, reducing negative affect or increasing life satisfaction, among others. Our study is, as far as we know, the first to demonstrate the effectiveness of a brief intervention in mindfulness conducted using a smartphone application in Spanish.",2021-01-19,"Pizarro-Ruiz, Juan Pablo; Ordóñez-Camblor, Nuria; Del-Líbano, Mario; Escolar-LLamazares, María-Camino",Int J Environ Res Public Health,,,,document_parses/pdf_json/8cea40dedf3ed080956fec36f6d12b5e9c8d30a5.json,document_parses/pmc_json/PMC7832842.xml.json,https://doi.org/10.3390/ijerph18020802; https://www.ncbi.nlm.nih.gov/pubmed/33477831/,231678311.0
3xxygg9w,,WHO,Blood neurofilament light concentration at admittance: a potential prognostic marker in COVID-19,,,,unk,"OBJECTIVE: To test the hypotheses that blood biomarkers for nervous system injury, serum concentrations of neurofilament light chain protein (NfL) and glial fibrillary acidic protein (GFAp) can serve as biomarkers for disease severity in COVID-19 patients. METHODS: Forty-seven inpatients with confirmed COVID-19 had blood samples drawn on admission for assessing serum biomarkers of CNS injury by Single molecule array (Simoa), NfL and GFAp. Concentrations of NfL and GFAp were analyzed in relation to symptoms, clinical signs, inflammatory biomarkers and clinical outcomes. We used multivariate linear models to test for differences in biomarker concentrations in the subgroups, accounting for confounding effects. RESULTS: In total, 21% (n = 10) of the patients were admitted to an intensive care unit, and the overall mortality rate was 13% (n = 6). Non-survivors had higher serum concentrations of NfL (p < 0.001) upon admission than patients who were discharged alive both in adjusted analyses (p = 2.6 × 10-7) and unadjusted analyses (p = 0.001). The concentrations of NfL in non-survivors increased over repeated measurements; whereas, the concentrations in survivors were stable. The GFAp concentration was also significantly higher in non-survivors than survivors (p = 0.02). CONCLUSION: Increased concentrations of NfL and GFAp in COVID-19 patients on admission may indicate increased mortality risk. Measurement of blood biomarkers for nervous system injury can be useful to detect and monitor CNS injury in COVID-19.",2021,"Aamodt, Anne Hege; Høgestøl, Einar August; Popperud, Trine Haug; Holter, Jan Cato; Dyrhol-Riise, Anne Ma; Tonby, Kristian; Stiksrud, Birgitte; Quist-Paulsen, Else; Berge, Tone; Barratt-Due, Andreas; Aukrust, Pål; Heggelund, Lars; Blennow, Kaj; Zetterberg, Henrik; Harbo, Hanne Flinstad",J. neurol,,#covidwho-1141418,,,,,221556393.0
5tjoyy7o,,PMC,Azithromycin/lopinavir/ritonavir: Acute kidney injury following off label use: case report,10.1007/s40278-021-89412-6,PMC7818711,,no-cc,,2021-01-16,,Reactions Weekly,,,,,document_parses/pmc_json/PMC7818711.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7818711/,
6b49jwyo,,WHO,Returning to the Classroom: A Look at Mental Health Needs as Children Go Back to School,,,,unk,,2021,"Sullivan, Mary A",J Psychosoc Nurs Ment Health Serv,,#covidwho-1256736,,,,,235268335.0
08ztt39u,,WHO,Diagnostic interval for non-screening patients undergoing mammography during the COVID-19 pandemic,,,,unk,"OBJECTIVE: During the COVID-19 pandemic, there was a temporary cessation of mammography screening. However, in some facilities, diagnostic breast imaging services continued for patients with a high clinical suspicion of breast cancer. The objective of this study was to evaluate changes in the diagnostic interval (DI) of non-screening patients presenting for diagnostic mammography during the first wave of the COVID-19 pandemic. METHODS: Retrospective chart review was performed on patients presenting for non-screening diagnostic mammography from April 1 to June 30, 2020 (pandemic group) and April 1 to June 30, 2019 (pre-pandemic group). Age, reason for referral, number and type of imaging studies/biopsies necessary for a final diagnosis were recorded. Diagnostic interval (DI) was defined as the number of days from the date of the diagnostic mammogram to the date of the final diagnosis. RESULTS: Compared to the pre-pandemic group (n = 64), the pandemic group (n = 77) showed a reduction in DI of the entire cohort (pandemic: 1 day; pre-pandemic: 15 days, p < 0.0001) for patients not requiring tissue sampling (pandemic: 1 day; pre-pandemic: 11 days, .p < 0.0001) and those requiring tissue sampling with benign pathology (pandemic 9 days; pre-pandemic, 33 days, p = 0.0002). A higher percentage of patients in the pandemic group had their assessment completed during the initial visit (pandemic: 50.6%; pre-pandemic: 23.4%, p = 0.0009). CONCLUSION: During the first wave of the COVID-19 pandemic, the DI for patients with non-screening-related diagnostic mammography was significantly shorter, with a higher percentage of patients completing their assessments on the initial visit, compared to one year prior. KEY POINTS: â¢ Despite reductions in manpower and clinical services, during pandemic times, it is possible to maintain a diagnostic breast imaging service for women at high clinical suspicion for breast cancer. â¢ During pandemic times, breast imaging departments should consider restructuring to a Rapid Diagnostic Unit model with a navigation team that follows patients through the assessment process to a final diagnosis. â¢ Departmental restructuring and patient navigation during pandemic times could either maintain or shorten the diagnostic interval for patients presenting for diagnostic mammography.",2021,"Crivellaro, Priscila; Tafur, Monica; George, Ralph; Muradali, Derek",Eur. radiol,,#covidwho-1274819,,,,,235466930.0
uo0wwtmg,,Elsevier; PMC,REMDESIVIR (VEKLURY) FOR TREATING COVID-19 PATIENTS: WHAT TO EXPECT FROM A CARDIAC ELECTROPHYSIOLOGICAL PERSPECTIVE,10.1016/j.cjca.2021.07.093,PMC8523088,,els-covid,"BACKGROUND Remdesivir was authorized with conditions in Canada on July 27, 2020 for the treatment of severe COVID-19 in adults and youth (aged ≥ 12 years) with pneumonia requiring supplemental oxygen. In the Canadian Veklury® monograph, it is mentioned that current non-clinical and clinical data do not suggest a risk of QT prolongation, but QT prolongation has not been fully evaluated in humans. Interestingly, in a recent small series of 67 patients treated with remdesivir alone daily (200 mg Day 1, 100 mg Days 2-7); although no instance of torsades de pointes was reported, there was a mean 24.4-ms increase in the QTc, with 9% of all QTc ≥ 500 ms and 9% of all DQTc ≥ 60 ms. Our aim was therefore to further evaluate the effects of remdesivir on cardiac electrophysiology. METHODS AND RESULTS 1) Ex vivo Langendorff retroperfusion experiments: Isolated hearts from male Hartley guinea pigs were either let at their natural sinus rhythm (SR) or paced at basic cycle lengths (BCL) of 250 or 200 ms. They were allowed to stabilize and were then exposed for 15 minutes to either remdesivir 3 (n=7), 10 (n=7) or 30 (n=5) µmol/L to assess drug-induced effect on monophasic action potential duration measured at 90% repolarization (MAPD90). 2) In vivo wireless cardiac telemetry experiments: Guinea pigs (n=3) implanted with radio transmitters were administered i.p. daily doses of remdesivir (5 mg/kg on Day 1 and 2.5 mg/kg on Days 2-10) and continuous ECG recordings were made. Results: See Tables. CONCLUSION Previous clinical studies have shown peak plasma concentrations of remdesivir in the 5-10 µmol/L range after the 200 mg Day 1 dose. In the present study, remdesivir had hardly any significant ex vivo effect on MAPD90 at clinically relevant concentrations (3-30 µmol/L). However, in vivo, the drug caused significant prolongation of the QT at Day 1 and Day 10 and of QTcF at Day 10. Interestingly, a trend toward bradycardia was observed in vivo after each administration of remdesivir. More in vivo experiments are therefore required to rule out any QTc-prolonging effects of remdesivir at clinically recommended dosage.",2021-10-31,"Pilote, S; Simard, C; Drolet, B",Canadian Journal of Cardiology,,,,,,https://api.elsevier.com/content/article/pii/S0828282X2100492X; https://www.sciencedirect.com/science/article/pii/S0828282X2100492X,239020866.0
x6ba83ll,,WHO,The battered library-Navigating the future in a new reality,10.1016/b978-0-323-88493-8.00026-4,,,unk,"The library was already undergoing change. Now, the COVID-19 pandemic seems to have uprooted whatever remained of the traditional library, giving way to an uncharted course in the provision of library services. This prompted research into the preparedness of librarians, librarianship students, and other students in 50 higher education institutions in Nigeria. Social survey was carried out by using social media platforms-WhatsApp and Facebook-to administer questionnaires to the target group. Responses revealed that librarians were not emotionally prepared for the pandemic and would prefer not to witness another. The use of libraries during the pandemic was minimal, and the availability of online resources was undermined by poor infrastructural development. Moving forward, increase in the use of digital resources is expected as well as creation of creative and flexible, technology-driven library spaces. Librarians will need more training, and a change in the curriculum of library schools is inevitable. © 2021 David Baker and Lucy Ellis Published by Elsevier Ltd.",2021,"Akintunde, S.","Libraries, Digital Information, and COVID: Practical Applications and Approaches to Challenge and Change",,#covidwho-1787963,,,,https://doi.org/10.1016/b978-0-323-88493-8.00026-4,237980996.0
5546v81i,,WHO,Depresi kecemasan dan stres remaja selama pandemi COVID-19,10.36722/sh.v6i2.497,,,unk,"Adolescents are quite vulnerable to experiencing negative psychological conditions such as depression, anxiety, and stress. The existence of the COVID-19 pandemic has led to policies such as social distancing that restrict adolescence, so they need to adapt to be able to carry out their daily activities and carry out their developmental tasks. This study aims to determine the prevalence of negative psychological conditions in adolescents such as depression, anxiety and stress during the COVID-19 Pandemic. This research is a quantitative descriptive approach with a cross-sectional design. This research was conducted during August 2020 on 647 adolescents aged 14-18 years in Bandung. The measuring instrument used was the DASS-42 which was done online by participants. The reliability of DASS-42 in this study has an alpha coefficient of 0.955. The results showed that the most negative psychological condition experienced by adolescents during the COVID-19 Pandemic was anxiety which was found in 58.74% of adolescents. In addition, 32.15% of adolescents experienced depression and 34.7% of adolescents experienced stress during the COVID-19 Pandemic. The prevalence of negative psychological conditions such as depression, anxiety and stress are more experienced by girls than boys.",2021,"Pertiwi Swastika, Tiara Moeliono Marisa Fransiska Kendhawati Lenny",JURNAL Al-AZHAR Indonesia SERI HUMANIORA,,#covidwho-1646050,,,,https://doi.org/10.36722/sh.v6i2.497,244258725.0
vgewbbdj,,Medline,[Taste and smell loss in patients with COVID-19].,,,33000727.0,unk,"In the aftermath of COVID-19, the association between SARS-CoV-2 and chemosensory deficits have been well established. Taste and smell loss have been included in the official lists of symptoms worldwide, as it is a common symptom (and for some patients the only symptom) of COVID-19 as described in this review. Patients with COVID-19 often have combined taste and smell loss, have a milder clinical presentation, and are younger than previous patients with postviral olfactory loss. Patients should start olfactory training early and should be seen by an ear, nose and throat physician if they do not experience improvement of the senses within 12 weeks.",2020-08-31,"Fjældstad, Alexander W; Ovesen, Therese",Ugeskrift for laeger,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/33000727/,222164170.0
ek6s0zc2,cde170454300061a9d8ff3bd4c891ec5c816ed0a,Medline; PMC; WHO,SARS-CoV-2-associated multisystem inflammatory syndrome in children: clinical manifestations and the role of infliximab treatment,10.1007/s00431-021-03935-1,PMC7810600,33452570.0,no-cc,"This study was conducted to assess the clinical spectrum, management, and outcome of SARS-CoV-2-related multisystem inflammatory syndrome in children (MIS-C). We reviewed medical records of children with MIS-C diagnosis seen at the Children’s Hospital of Michigan in Detroit between April and June 2020. Thirty-three children were identified including 22 who required critical care (group 1) and 11 with less intense inflammation (group 2). Children in group 1 were older (median 7.0 years) than those in group 2 (median 2.0 years). Abdominal pain was present in 68% of patients in group 1. Hypotension or shock was present in 17/22 patients in group 1. Thirteen (39.4%) had Kawasaki disease (KD)–like manifestations. Five developed coronary artery dilatation; All resolved on follow-up. Intravenous immunoglobulin (IVIG) was given to all patients in group 1 and 7/11 in group 2. Second-line therapy was needed in 13/22 (group 1) for persisting inflammation or myocardial dysfunction; 12 received infliximab. All patients recovered. Conclusion: MIS-C clinical manifestations may overlap with KD; however, MIS-C is likely a distinct inflammatory process characterized by reversible myocardial dysfunction and rarely coronary artery dilatation. Supportive care, IVIG, and second-line therapy with infliximab were associated with a favorable outcome.",2021-01-16,"Abdel-Haq, Nahed; Asmar, Basim I.; Deza Leon, Maria P.; McGrath, Eric J.; Arora, Harbir S.; Cashen, Katherine; Tilford, Bradley; Charaf Eddine, Ahmad; Sethuraman, Usha; Ang, Jocelyn Y.",Eur J Pediatr,,,,document_parses/pdf_json/cde170454300061a9d8ff3bd4c891ec5c816ed0a.json,document_parses/pmc_json/PMC7810600.xml.json,https://doi.org/10.1007/s00431-021-03935-1; https://www.ncbi.nlm.nih.gov/pubmed/33452570/,231622350.0
